name,smiles,passed,qed,score,violations
Ethanol,CCO,True,0.40680796565539457,0.40680796565539457,0
Aspirin,CC(=O)Oc1ccccc1C(=O)O,True,0.5501217966938848,0.5501217966938848,0
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,True,0.5384628262372215,0.5384628262372215,0
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,True,0.8215995486924976,0.8215995486924976,0
Benzene,c1ccccc1,True,0.4426283718993647,0.4426283718993647,0
Glucose,OCC1OC(O)C(O)C(O)C1O,True,0.29015285452995804,0.29015285452995804,0
Paracetamol,CC(=O)Nc1ccc(O)cc1,True,0.5950261967780849,0.5950261967780849,0
Cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,True,0.4883117604002477,0.38831176040024773,1
Penicillin G,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,True,0.7977632704521287,0.7977632704521287,0
Octanol,CCCCCCCCCO,True,0.5446193762686498,0.5446193762686498,0
